Time,StepCount,initial_x_north_lat,initial_y_east_lon,initial_cog,initial_sog,lon_reference,lat_reference,step_size,vessel_length,vessel_width,r_accept,transition_duration,next_wp_x_north,next_wp_y_east,chi_desired_rad,speed_desired,chi_ca_best,u_ca_best,u_current,v_current,r_current,tau_wind_surge,tau_wind_sway,tau_wind_yaw,x_north,y_east,psi,u,v,r,tau_surge,tau_sway,tau_yaw,length_ais,width_ais,lat_rad,lon_rad,lat_deg_ais,lon_deg_ais,true_heading_deg_ais,cog_deg_ais,sog_kts_ais,rot_deg_per_min_ais,cog_error_deg,sog_error_meter_per_sec,mmsi,nav_status,stopping_condition,mmsi_ais,nav_status_ais,in_ned_coord,tau_saturation_enabled,dp_mode,transition_in_progress
0,0,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-140.000000,-190.000000,0.610865,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,36.250000,9.900000,1.142731,0.213029,65.473659,12.205666,35.000000,35.000000,3.887689,0.000000,0.000000,0.000000,0,0,0,0,0,1,1,0,0
1,1,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-140.000000,-190.000000,0.000000,2.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-140.000000,-190.000000,0.610865,0.100889,0.002764,-0.002091,1665000.000000,168895.686248,-35000000.000000,36.250000,9.900000,1.142731,0.213029,65.473659,12.205666,35.000000,35.000000,0.196186,-7.187595,-35.000000,2.000000,0,0,0,0,0,1,1,0,0
2,2,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,-2.205823,1.000000,0.000000,1.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-139.918942,-189.939869,0.608774,0.190800,0.028229,-0.004117,1484348.591647,758433.173117,-35000000.000000,36.250000,9.900000,1.142731,0.213029,65.473660,12.205667,34.880207,34.880207,0.374923,-14.153681,-161.384352,0.899073,0,0,0,0,0,1,1,0,0
3,3,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.685730,1.000000,0.000000,1.000000,-0.001743,-0.019924,0.000000,-0.867404,-9.921669,-772.251409,-139.788526,-189.790258,0.604657,0.271546,0.023413,-0.003244,1338872.635961,-179235.328920,14836368.411958,36.250000,9.900000,1.142731,0.213029,65.473661,12.205670,34.644312,34.644312,0.529801,-11.151164,4.409200,0.801527,0,0,0,0,0,1,1,0,0
4,4,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.685825,1.000000,0.000000,1.000000,-0.003403,-0.039855,0.000000,-3.326190,-46.712981,-3783.121916,-139.598293,-189.581904,0.601414,0.344051,0.017084,-0.002433,1202899.358040,-217532.829111,13971777.455363,36.250000,9.900000,1.142731,0.213029,65.473663,12.205675,34.458459,34.458459,0.669605,-8.362638,4.650584,0.717866,0,0,0,0,0,1,1,0,0
5,5,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.685161,1.000000,0.000000,1.000000,-0.004858,-0.059803,0.000000,-6.474791,-90.909896,-7362.143171,-139.354109,-189.321092,0.598981,0.409159,0.009391,-0.001687,1080272.995826,-249405.626760,13045622.002618,36.250000,9.900000,1.142731,0.213029,65.473665,12.205680,34.319082,34.319082,0.795552,-5.800514,4.798383,0.642720,0,0,0,0,0,1,1,0,0
6,6,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.684345,1.000000,0.000000,1.000000,-0.006219,-0.079758,0.000000,-10.130538,-146.231036,-11903.347023,-139.061306,-189.013272,0.597294,0.467621,0.000470,-0.001007,969583.561530,-276038.331876,12128112.411884,36.250000,9.900000,1.142731,0.213029,65.473668,12.205687,34.222407,34.222407,0.908983,-3.462217,4.891013,0.575163,0,0,0,0,0,1,1,0,0
7,7,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.683401,1.000000,0.000000,1.000000,-0.007531,-0.099716,0.000000,-14.046274,-210.926478,-17294.552765,-138.724767,-188.663204,0.596287,0.520105,-0.009559,-0.000391,869651.346341,-298296.183738,11224969.583321,36.250000,9.900000,1.142731,0.213030,65.473671,12.205694,34.164703,34.164703,1.011174,-1.343570,4.933567,0.514401,0,0,0,0,0,1,1,0,0
8,8,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.682344,1.000000,0.000000,1.000000,-0.008835,-0.119674,0.000000,-18.042045,-283.579820,-23443.424217,-138.348945,-188.275053,0.595896,0.567210,-0.020584,0.000163,779413.107979,-316919.874195,10341162.704968,36.250000,9.900000,1.142731,0.213030,65.473674,12.205703,34.142310,34.142310,1.103293,0.560894,4.930737,0.459719,0,0,0,0,0,1,1,0,0
9,9,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.681188,1.000000,0.000000,1.000000,-0.010167,-0.139630,0.000000,-21.990712,-363.067518,-30275.427642,-137.937896,-187.852471,0.596059,0.609471,-0.032505,0.000657,697910.858343,-332540.878746,9480949.478894,36.250000,9.900000,1.142731,0.213030,65.473678,12.205712,34.151659,34.151659,1.186400,2.257673,4.886864,0.410478,0,0,0,0,0,1,1,0,0
10,10,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.679939,1.000000,0.000000,1.000000,-0.011557,-0.159582,0.000000,-25.806076,-448.522355,-37732.033192,-137.495301,-187.398672,0.596716,0.647366,-0.045234,0.001092,624281.979530,-345695.513178,8647938.314152,36.250000,9.900000,1.142731,0.213030,65.473682,12.205722,34.189286,34.189286,1.261448,3.754081,4.805980,0.366104,0,0,0,0,0,1,1,0,0
11,11,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.678604,1.000000,0.000000,1.000000,-0.013031,-0.179528,0.000000,-29.433137,-539.299659,-45769.031005,-137.024492,-186.916490,0.597808,0.681325,-0.058689,0.001471,557750.252893,-356837.583547,7845148.873673,36.250000,9.900000,1.142731,0.213030,65.473686,12.205732,34.251854,34.251854,1.329294,5.058062,4.691845,0.326086,0,0,0,0,0,1,1,0,0
12,12,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.677185,1.000000,0.000000,1.000000,-0.014610,-0.199466,0.000000,-32.840137,-634.944978,-54354.845167,-136.528486,-186.408434,0.599279,0.711729,-0.072797,0.001797,497617.694286,-366349.656648,7075069.550242,36.250000,9.900000,1.142731,0.213030,65.473691,12.205743,34.336156,34.336156,1.390709,6.178038,4.547976,0.289969,0,0,0,0,0,1,1,0,0
13,13,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.675684,1.000000,0.000000,1.000000,-0.016311,-0.219395,0.000000,-36.012085,-735.162844,-63468.801447,-136.010000,-185.876733,0.601076,0.738923,-0.087491,0.002072,443257.109258,-374553.019712,6339711.102773,36.250000,9.900000,1.142732,0.213031,65.473695,12.205755,34.439123,34.439123,1.446385,7.122785,4.377676,0.257347,0,0,0,0,0,1,1,0,0
14,14,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.674102,1.000000,0.000000,1.000000,-0.018146,-0.239313,0.000000,-38.945591,-839.786901,-73099.363912,-135.471484,-185.323376,0.603148,0.763214,-0.102713,0.002298,394105.297425,-381716.422164,5640656.093910,36.250000,9.900000,1.142732,0.213031,65.473700,12.205766,34.557836,34.557836,1.496944,7.901320,4.184051,0.227858,0,0,0,0,0,1,1,0,0
15,15,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.672438,1.000000,0.000000,1.000000,-0.020124,-0.259220,0.000000,-41.644809,-948.752028,-83242.391808,-134.915139,-184.750146,0.605446,0.784878,-0.118409,0.002479,349656.846808,-388063.704291,4979104.048386,36.250000,9.900000,1.142732,0.213031,65.473705,12.205779,34.689525,34.689525,1.542944,8.522811,3.970025,0.201181,0,0,0,0,0,1,1,0,0
16,16,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.670693,1.000000,0.000000,1.000000,-0.022250,-0.279115,0.000000,-44.118352,-1062.069115,-93899.481112,-134.342942,-184.158646,0.607926,0.804162,-0.134530,0.002617,309458.467549,-393780.421583,4355912.435626,36.250000,9.900000,1.142732,0.213031,65.473710,12.205792,34.831571,34.831571,1.584889,8.996504,3.738357,0.177029,0,0,0,0,0,1,1,0,0
17,17,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.668866,1.000000,0.000000,1.000000,-0.024527,-0.298996,0.000000,-46.376999,-1179.802998,-105076.450234,-133.756663,-183.550328,0.610543,0.821290,-0.151033,0.002714,273103.820912,-399019.572108,3771633.696255,36.250000,9.900000,1.142732,0.213031,65.473715,12.205805,34.981513,34.981513,1.623231,9.331656,3.491649,0.155148,0,0,0,0,0,1,1,0,0
18,18,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.666958,1.000000,0.000000,1.000000,-0.026953,-0.318863,0.000000,-48.432063,-1302.053855,-116782.013639,-133.157884,-182.926511,0.613257,0.836463,-0.167878,0.002774,240228.804398,-403906.529419,3226548.599485,36.250000,9.900000,1.142732,0.213032,65.473721,12.205818,35.137041,35.137041,1.658378,9.537477,3.232354,0.135313,0,0,0,0,0,1,1,0,0
19,19,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.664967,1.000000,0.000000,1.000000,-0.029524,-0.338716,0.000000,-50.294276,-1428.942067,-129026.667508,-132.548022,-182.288399,0.616031,0.849861,-0.185030,0.002799,210507.257603,-408543.276771,2720696.251056,36.250000,9.900000,1.142732,0.213032,65.473726,12.205832,35.295999,35.295999,1.690699,9.623090,2.962787,0.117323,0,0,0,0,0,1,1,0,0
20,20,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.662896,1.000000,0.000000,1.000000,-0.032234,-0.358554,0.000000,-51.973068,-1560.596382,-141821.792851,-131.928338,-181.637098,0.618831,0.861649,-0.202458,0.002792,183647.056438,-413012.030540,2253901.079915,36.250000,9.900000,1.142732,0.213032,65.473732,12.205846,35.456384,35.456384,1.720525,9.597485,2.685124,0.100999,0,0,0,0,0,1,1,0,0
21,21,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.660743,1.000000,0.000000,1.000000,-0.035074,-0.378378,0.000000,-53.476137,-1697.145059,-155178.966481,-131.299954,-180.973627,0.621622,0.871973,-0.220131,0.002755,159386.565777,-417378.332549,1825797.124177,36.250000,9.900000,1.142732,0.213032,65.473737,12.205860,35.616342,35.616342,1.748158,9.469488,2.401413,0.086184,0,0,0,0,0,1,1,0,0
22,22,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.658511,1.000000,0.000000,1.000000,-0.038035,-0.398188,0.000000,-54.809233,-1838.709574,-169109.459968,-130.663869,-180.298931,0.624377,0.880969,-0.238025,0.002690,137491.422641,-421693.682813,1435849.918956,36.250000,9.900000,1.142732,0.213033,65.473743,12.205875,35.774166,35.774166,1.773871,9.247733,2.113576,0.072736,0,0,0,0,0,1,1,0,0
23,23,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.656202,1.000000,0.000000,1.000000,-0.041104,-0.417984,0.000000,-55.976084,-1985.400470,-183623.900913,-130.020968,-179.613889,0.627067,0.888758,-0.256116,0.002601,117751.623837,-425997.776345,1083376.264760,36.250000,9.900000,1.142732,0.213033,65.473749,12.205890,35.928295,35.928295,1.797911,8.940635,1.823411,0.060530,0,0,0,0,0,1,1,0,0
24,24,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.653816,1.000000,0.000000,1.000000,-0.044267,-0.437768,0.000000,-56.978419,-2137.314931,-198732.068794,-129.372036,-178.919323,0.629668,0.895452,-0.274384,0.002489,99978.893598,-430320.400222,767562.128435,36.250000,9.900000,1.142733,0.213033,65.473755,12.205905,36.077306,36.077306,1.820503,8.556369,1.532597,0.049456,0,0,0,0,0,1,1,0,0
25,25,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.651357,1.000000,0.000000,1.000000,-0.047511,-0.457540,0.000000,-57.816052,-2294.535683,-214442.798133,-128.717768,-178.216003,0.632157,0.901153,-0.292810,0.002357,84004.308278,-434683.040318,487478.901239,36.250000,9.900000,1.142733,0.213033,65.473761,12.205920,36.219912,36.219912,1.841852,8.102854,1.242697,0.039414,0,0,0,0,0,1,1,0,0
26,26,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.648827,1.000000,0.000000,1.000000,-0.050818,-0.477302,0.000000,-58.486999,-2457.130906,-230763.963994,-128.058775,-177.504658,0.634514,0.905952,-0.311378,0.002207,69676.156624,-439100.240783,242098.211933,36.250000,9.900000,1.142733,0.213034,65.473766,12.205935,36.354960,36.354960,1.862143,7.587739,0.955160,0.030317,0,0,0,0,0,1,1,0,0
27,27,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.646231,1.000000,0.000000,1.000000,-0.054172,-0.497057,0.000000,-58.987616,-2625.154870,-247702.527911,-127.395597,-176.785971,0.636721,0.909936,-0.330072,0.002042,56858.015510,-443580.753772,30305.467673,36.250000,9.900000,1.142733,0.213034,65.473772,12.205951,36.481422,36.481422,1.881548,7.018385,0.671325,0.022086,0,0,0,0,0,1,1,0,0
28,28,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.643570,1.000000,0.000000,1.000000,-0.057558,-0.516805,0.000000,-59.312745,-2798.649074,-265264.625782,-126.728708,-176.060594,0.638762,0.913183,-0.348881,0.001862,45427.022412,-448128.511794,-149087.727598,36.250000,9.900000,1.142733,0.213034,65.473778,12.205966,36.598395,36.598395,1.900222,6.401861,0.392421,0.014651,0,0,0,0,0,1,1,0,0
29,29,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.640849,1.000000,0.000000,1.000000,-0.060956,-0.536549,0.000000,-59.455859,-2977.643692,-283455.682671,-126.058524,-175.329144,0.640625,0.915766,-0.367792,0.001671,35272.327167,-452743.450587,-297332.148324,36.250000,9.900000,1.142733,0.213035,65.473784,12.205982,36.705093,36.705093,1.918307,5.744931,0.119575,0.007949,0,0,0,0,0,1,1,0,0
30,30,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.638073,1.000000,0.000000,1.000000,-0.064349,-0.556291,0.000000,-59.409205,-3162.159215,-302280.542526,-125.385409,-174.592209,0.642296,0.917750,-0.386795,0.001470,26293.706877,-457422.206410,-415730.405746,36.250000,9.900000,1.142733,0.213035,65.473790,12.205998,36.800842,36.800842,1.935932,5.054053,-0.146192,0.001923,0,0,0,0,0,1,1,0,0
31,31,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.635246,1.000000,0.000000,1.000000,-0.067720,-0.576033,0.000000,-59.163946,-3352.208153,-321743.603579,-124.709681,-173.850350,0.643766,0.919200,-0.405881,0.001261,18400.329013,-462158.708123,-505627.195527,36.250000,9.900000,1.142733,0.213035,65.473797,12.206014,36.885076,36.885076,1.953218,4.335367,-0.403955,-0.003476,0,0,0,0,0,1,1,0,0
32,32,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.632371,1.000000,0.000000,1.000000,-0.071051,-0.595778,0.000000,-58.710290,-3547.796740,-341848.952457,-124.031617,-173.104102,0.645027,0.920171,-0.425042,0.001046,11509.648964,-466944.681349,-568400.254947,36.250000,9.900000,1.142733,0.213035,65.473803,12.206030,36.957332,36.957332,1.970272,3.594699,-0.652887,-0.008295,0,0,0,0,0,1,1,0,0
33,33,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.629454,1.000000,0.000000,1.000000,-0.074325,-0.615529,0.000000,-58.037614,-3748.926577,-362600.491934,-123.351456,-172.353976,0.646073,0.920718,-0.444273,0.000825,5546.429406,-471770.079319,-605451.962457,36.250000,9.900000,1.142734,0.213036,65.473809,12.206046,37.017243,37.017243,1.987195,2.837555,-0.892254,-0.012574,0,0,0,0,0,1,1,0,0
34,34,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.626500,1.000000,0.000000,1.000000,-0.077523,-0.635287,0.000000,-57.134589,-3955.596173,-384002.058748,-122.669407,-171.600463,0.646898,0.920890,-0.463566,0.000602,441.869882,-476623.452647,-618201.523245,36.250000,9.900000,1.142734,0.213036,65.473815,12.206063,37.064536,37.064536,2.004077,2.069121,-1.121411,-0.016352,0,0,0,0,0,1,1,0,0
35,35,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.623514,1.000000,0.000000,1.000000,-0.080631,-0.655056,0.000000,-55.989288,-4167.802363,-406057.529132,-121.985650,-170.844031,0.647500,0.920735,-0.482918,0.000376,-3867.163955,-481492.268276,-608077.693765,36.250000,9.900000,1.142734,0.213036,65.473821,12.206079,37.099021,37.099021,2.021002,1.294266,-1.339800,-0.019663,0,0,0,0,0,1,1,0,0
36,36,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.620501,1.000000,0.000000,1.000000,-0.083631,-0.674838,0.000000,-54.589297,-4385.541575,-428770.910566,-121.300338,-170.085129,0.647877,0.920295,-0.502323,0.000151,-7438.821140,-486363.186066,-576512.006194,36.250000,9.900000,1.142734,0.213037,65.473827,12.206095,37.120593,37.120593,2.038046,0.517540,-1.546945,-0.022538,0,0,0,0,0,1,1,0,0
37,37,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.617465,1.000000,0.000000,1.000000,-0.086509,-0.694634,0.000000,-52.921809,-4608.810952,-452146.419036,-120.613604,-169.324186,0.648027,0.919611,-0.521778,-0.000075,-10326.865019,-491222.300029,-524932.460644,36.250000,9.900000,1.142734,0.213037,65.473833,12.206112,37.129218,37.129218,2.055277,-0.256818,-1.742451,-0.025006,0,0,0,0,0,1,1,0,0
38,38,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.614412,1.000000,0.000000,1.000000,-0.089250,-0.714447,0.000000,-50.973727,-4837.609313,-476188.541527,-119.925561,-168.561613,0.647952,0.918722,-0.541281,-0.000298,-12581.199735,-496055.349900,-454757.658727,36.250000,9.900000,1.142734,0.213037,65.473839,12.206128,37.124938,37.124938,2.072757,-1.024879,-1.925996,-0.027094,0,0,0,0,0,1,1,0,0
39,39,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.611347,1.000000,0.000000,1.000000,-0.091840,-0.734279,0.000000,-48.731745,-5071.937954,-500902.083941,-119.236303,-167.797801,0.647654,0.917663,-0.560828,-0.000519,-14248.330881,-500847.907705,-367391.356983,36.250000,9.900000,1.142734,0.213037,65.473846,12.206145,37.107857,37.107857,2.090544,-1.783019,-2.097334,-0.028826,0,0,0,0,0,1,1,0,0
40,40,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.608275,1.000000,0.000000,1.000000,-0.094265,-0.754131,0.000000,-46.182439,-5311.801301,-526292.204851,-118.545912,-167.033128,0.647136,0.916467,-0.580417,-0.000735,-15371.766977,-505585.543012,-264217.422693,36.250000,9.900000,1.142734,0.213038,65.473852,12.206161,37.078140,37.078140,2.108687,-2.527912,-2.256282,-0.030226,0,0,0,0,0,1,1,0,0
41,41,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.605200,1.000000,0.000000,1.000000,-0.096515,-0.774006,0.000000,-43.312337,-5557.207412,-552364.435765,-117.854456,-166.267949,0.646400,0.915167,-0.600047,-0.000947,-15992.367835,-510253.969845,-146595.177929,36.250000,9.900000,1.142734,0.213038,65.473858,12.206178,37.036008,37.036008,2.127232,-3.256526,-2.402727,-0.031315,0,0,0,0,0,1,1,0,0
42,42,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.602128,1.000000,0.000000,1.000000,-0.098578,-0.793903,0.000000,-40.107996,-5808.168338,-579124.688681,-117.161990,-165.502606,0.645453,0.913790,-0.619716,-0.001154,-16148.645338,-514839.177592,-15855.120327,36.250000,9.900000,1.142735,0.213038,65.473864,12.206194,36.981732,36.981732,2.146219,-3.966110,-2.536613,-0.032114,0,0,0,0,0,1,1,0,0
43,43,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.599063,1.000000,0.000000,1.000000,-0.100444,-0.813825,0.000000,-36.556070,-6064.700350,-606579.251845,-116.468560,-164.737424,0.644299,0.912364,-0.639423,-0.001354,-15877.021688,-519327.547700,126704.988878,36.250000,9.900000,1.142735,0.213039,65.473870,12.206211,36.915630,36.915630,2.165682,-4.654194,-2.657941,-0.032642,0,0,0,0,0,1,1,0,0
44,44,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.596010,1.000000,0.000000,1.000000,-0.102104,-0.833771,0.000000,-32.643368,-6326.824048,-634734.774690,-115.774204,-163.972710,0.642945,0.910915,-0.659168,-0.001547,-15212.049730,-523705.957575,279823.677541,36.250000,9.900000,1.142735,0.213039,65.473877,12.206227,36.838061,36.838061,2.185653,-5.318573,-2.766766,-0.032917,0,0,0,0,0,1,1,0,0
45,45,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.592973,1.000000,0.000000,1.000000,-0.103551,-0.853743,0.000000,-28.356916,-6594.564351,-663598.243010,-115.078952,-163.208757,0.641398,0.909467,-0.678948,-0.001733,-14186.599569,-527961.872737,442278.962937,36.250000,9.900000,1.142735,0.213039,65.473883,12.206244,36.749418,36.749418,2.206156,-5.957304,-2.863194,-0.032957,0,0,0,0,0,1,1,0,0
46,46,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.589957,1.000000,0.000000,1.000000,-0.104776,-0.873740,0.000000,-23.684009,-6867.950388,-693176.945443,-114.382828,-162.445839,0.639665,0.908041,-0.698763,-0.001911,-12832.015352,-532083.428038,612891.206081,36.250000,9.900000,1.142735,0.213039,65.473889,12.206260,36.650129,36.650129,2.227215,-6.568692,-2.947373,-0.032779,0,0,0,0,0,1,1,0,0
47,47,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.586965,1.000000,0.000000,1.000000,-0.105775,-0.893763,0.000000,-18.612258,-7147.015298,-723478.432378,-113.685849,-161.684218,0.637755,0.906658,-0.718613,-0.002080,-11178.245754,-536059.498563,790525.626140,36.250000,9.900000,1.142735,0.213040,65.473895,12.206277,36.540651,36.540651,2.248848,-7.151281,-3.019494,-0.032399,0,0,0,0,0,1,1,0,0
48,48,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.584002,1.000000,0.000000,1.000000,-0.106542,-0.913810,0.000000,-13.129640,-7431.795949,-754510.468433,-112.988027,-160.924137,0.635674,0.905338,-0.738497,-0.002241,-9253.951402,-539879.760664,974094.481143,36.250000,9.900000,1.142735,0.213040,65.473902,12.206293,36.421463,36.421463,2.271068,-7.703849,-3.079789,-0.031832,0,0,0,0,0,1,1,0,0
49,49,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.581071,1.000000,0.000000,1.000000,-0.107074,-0.933882,0.000000,-7.224538,-7722.332594,-786280.979641,-112.289373,-160.165828,0.633433,0.904096,-0.758414,-0.002393,-7086.592234,-543534.743498,1162558.921555,36.250000,9.900000,1.142735,0.213040,65.473908,12.206309,36.293066,36.293066,2.293886,-8.225389,-3.128520,-0.031093,0,0,0,0,0,1,1,0,0
50,50,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.578177,1.000000,0.000000,1.000000,-0.107368,-0.953977,0.000000,-0.885781,-8018.668463,-818797.996514,-111.589890,-159.409503,0.631041,0.902950,-0.778364,-0.002535,-4702.497496,-547015.871385,1354930.523879,36.250000,9.900000,1.142735,0.213041,65.473914,12.206326,36.155976,36.155976,2.317311,-8.715104,-3.165983,-0.030196,0,0,0,0,0,1,1,0,0
51,51,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.575321,1.000000,0.000000,1.000000,-0.107422,-0.974095,0.000000,5.361204,-8320.852805,-852069.950790,-110.889580,-158.655363,0.628506,0.901913,-0.798346,-0.002668,-2126.920879,-550315.497234,1550272.512205,36.250000,9.900000,1.142735,0.213041,65.473920,12.206342,36.010724,36.010724,2.341347,-9.172395,-3.192502,-0.029155,0,0,0,0,0,1,1,0,0
